Lead Source,Do Not Email,Do Not Call,Converted,Country,Specialization,Through Recommendations,Tags,City,Last Notable Activity,Decision_Authority,Job Position
Google,No,No,1,India,Business Administration,No,Busy,Mumbai,Modified,1,Associate Analyst
Google,No,No,1,India,Business Administration,No,Will revert after reading the email,Mumbai,SMS Sent,1,Assistant Coordinator
Organic Search,No,No,0,India,Select,No,Graduation in progress,Mumbai,Email Opened,4,Senior Strategy Director
Organic Search,No,No,0,India,"Banking, Investment And Insurance",No,Interested in other courses,Mumbai,Modified,3,Marketing Manager
Direct Traffic,No,No,1,Bangladesh,Marketing Management,No,Will revert after reading the email,Other Cities,Email Opened,3,Team Lead
Organic Search,Yes,No,0,India,Travel and Tourism,No,Not doing further education,Mumbai,Modified,2,Technical Specialist
Direct Traffic,No,No,1,India,Healthcare Management,No,Will revert after reading the email,Mumbai,SMS Sent,4,Senior Strategy Director
Organic Search,No,No,0,Bangladesh,Travel and Tourism,No,Ringing,Other Cities,Email Opened,2,Business Consultant
Direct Traffic,No,No,0,India,Finance Management,No,Not doing further education,Mumbai,Modified,1,Associate Analyst
Direct Traffic,No,No,0,India,Healthcare Management,No,switched off,Mumbai,Modified,4,Senior Strategy Director
Referral Sites,No,No,1,India,Marketing Management,No,Will revert after reading the email,Mumbai,SMS Sent,5,CEO
Direct Traffic,No,No,1,Bangladesh,Finance Management,No,Will revert after reading the email,Other Cities,SMS Sent,4,Senior Strategy Director
Direct Traffic,No,No,0,India,IT Projects Management,No,Ringing,Mumbai,Email Link Clicked,2,Software Engineer
Organic Search,No,No,0,Bangladesh,Business Administration,No,,Other Cities,Email Opened,3,Operations Manager
Direct Traffic,No,No,1,India,Hospitality Management,No,Will revert after reading the email,Mumbai,Modified,3,Marketing Manager
Olark Chat,No,No,0,,Select,No,,,Modified,3,Project Manager
Direct Traffic,No,No,0,Bangladesh,Marketing Management,No,,Other Cities,Email Opened,4,Head of Marketing
Olark Chat,No,No,0,,Select,No,,,Modified,2,Business Consultant
Direct Traffic,No,No,0,Bangladesh,Finance Management,No,Already a student,Other Cities,Email Opened,1,Intern
Organic Search,No,No,0,India,Select,No,,Mumbai,Modified,3,Team Lead
Direct Traffic,No,No,0,Bangladesh,Select,No,Already a student,Other Cities,Email Opened,2,Business Consultant
Direct Traffic,No,No,0,India,Human Resource Management,No,Busy,Mumbai,SMS Sent,2,Business Consultant
Organic Search,No,No,0,India,Supply Chain Management,No,,Mumbai,Modified,3,Project Manager
Direct Traffic,Yes,No,0,India,Human Resource Management,No,Already a student,Mumbai,Modified,2,Software Engineer
Organic Search,No,No,1,India,Rural and Agribusiness,No,Will revert after reading the email,Mumbai,SMS Sent,1,Intern
Organic Search,No,No,1,Bangladesh,Marketing Management,No,Will revert after reading the email,Other Cities,Email Opened,3,Marketing Manager
Olark Chat,No,No,0,,Select,No,,,Modified,1,Assistant Coordinator
Olark Chat,No,No,0,India,Select,No,,Mumbai,Modified,2,Technical Specialist
Direct Traffic,No,No,0,India,Operations Management,No,,Mumbai,Email Opened,1,Junior Developer
bing,No,No,0,India,Operations Management,No,Already a student,Mumbai,Email Opened,2,Technical Specialist
Olark Chat,No,No,0,,Select,No,,,Modified,5,Chief Innovation Officer
Direct Traffic,No,No,0,India,Marketing Management,No,,Mumbai,Email Opened,4,Senior Strategy Director
Olark Chat,No,No,0,,Select,No,,,Modified,2,Technical Specialist
Direct Traffic,No,No,0,India,"Banking, Investment And Insurance",No,Ringing,Mumbai,Email Opened,4,Senior Strategy Director
Direct Traffic,No,No,1,India,Healthcare Management,No,Closed by Horizzon,Mumbai,Email Opened,2,Technical Specialist
Google,No,No,0,India,Select,No,,Mumbai,Email Opened,2,Data Analyst
Olark Chat,No,No,0,,Select,No,,,Modified,1,Assistant Coordinator
Olark Chat,No,No,0,India,Select,No,Already a student,Mumbai,Modified,3,Marketing Manager
Direct Traffic,No,No,0,India,Travel and Tourism,No,Already a student,Mumbai,Modified,2,Software Engineer
Olark Chat,No,No,0,,Select,No,,,Modified,2,Software Engineer
Olark Chat,No,No,0,,Select,No,,,Modified,2,Data Analyst
Olark Chat,No,No,0,,Select,No,,,Olark Chat Conversation,2,Software Engineer
Direct Traffic,No,No,0,Bangladesh,Operations Management,No,Already a student,Other Cities,Email Link Clicked,2,Business Consultant
Olark Chat,No,No,0,,Select,No,,,Olark Chat Conversation,3,Operations Manager
Olark Chat,Yes,No,0,,Select,No,,,Modified,2,Business Consultant
Reference,No,No,1,India,Marketing Management,No,Will revert after reading the email,Mumbai,Email Opened,4,Director of Operations
Olark Chat,No,No,0,,Select,No,,,Modified,4,Director of Operations
Olark Chat,No,No,0,,Select,No,,,Modified,5,CTO
Olark Chat,No,No,0,,Select,No,,,Olark Chat Conversation,4,Vice President
Olark Chat,No,No,0,,Select,No,,,Modified,1,Junior Developer
Direct Traffic,No,No,0,India,Supply Chain Management,No,switched off,Mumbai,Email Opened,3,Marketing Manager
Olark Chat,No,No,0,,Select,No,,,Modified,3,Marketing Manager
Olark Chat,No,No,0,,Select,No,,,Modified,4,Head of Marketing
Direct Traffic,No,No,1,India,IT Projects Management,No,Will revert after reading the email,Mumbai,SMS Sent,4,Vice President
Direct Traffic,No,No,0,India,Finance Management,No,,Mumbai,Modified,1,Junior Developer
Olark Chat,No,No,0,,Select,No,,,Modified,1,Associate Analyst
Olark Chat,No,No,0,,Select,No,,,Email Opened,2,Data Analyst
Olark Chat,No,No,0,,Select,No,,,Modified,2,Software Engineer
Organic Search,No,No,1,India,Select,No,,Mumbai,Email Opened,3,Team Lead
Direct Traffic,No,No,0,Bangladesh,Finance Management,No,Ringing,Other Cities,Modified,2,Technical Specialist
Reference,No,No,1,India,Marketing Management,No,Will revert after reading the email,Mumbai,Modified,3,Operations Manager
Direct Traffic,No,No,0,India,Finance Management,No,,Mumbai,Modified,2,Technical Specialist
Direct Traffic,No,No,0,India,Human Resource Management,No,Already a student,Mumbai,Email Opened,2,Business Consultant
Direct Traffic,No,No,0,India,International Business,No,Interested  in full time MBA,Mumbai,Email Opened,1,Assistant Coordinator
Google,Yes,No,0,India,E-COMMERCE,No,Ringing,Mumbai,Modified,2,Technical Specialist
Google,No,No,1,Bangladesh,Operations Management,No,Will revert after reading the email,Other Cities,Email Opened,5,CTO
Olark Chat,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,4,Senior Strategy Director
Google,No,No,0,India,Business Administration,No,,Mumbai,Email Opened,4,Director of Operations
Organic Search,No,No,1,India,Supply Chain Management,No,Will revert after reading the email,Mumbai,SMS Sent,3,Operations Manager
Reference,No,No,0,India,Finance Management,No,Busy,Mumbai,Modified,2,Data Analyst
Olark Chat,No,No,1,India,Select,No,,Mumbai,Email Opened,4,Vice President
Olark Chat,No,No,0,,Select,No,,,Email Opened,3,Team Lead
Welingak Website,No,No,1,India,Select,No,,Mumbai,SMS Sent,3,Marketing Manager
Google,Yes,No,1,India,Retail Management,No,Not doing further education,Mumbai,Email Bounced,2,Technical Specialist
Direct Traffic,No,No,1,Bangladesh,Supply Chain Management,No,Will revert after reading the email,Other Cities,SMS Sent,2,Data Analyst
Google,No,No,1,India,Select,No,,Mumbai,Modified,2,Technical Specialist
Organic Search,No,No,1,India,Travel and Tourism,No,Will revert after reading the email,Mumbai,SMS Sent,4,Vice President
Google,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,2,Data Analyst
Google,No,No,1,India,Select,No,,Mumbai,SMS Sent,3,Operations Manager
Google,No,No,0,India,Select,No,,Mumbai,Modified,3,Operations Manager
Olark Chat,No,No,1,India,Select,No,,Mumbai,SMS Sent,2,Data Analyst
Olark Chat,No,No,1,India,Human Resource Management,No,Will revert after reading the email,Mumbai,Modified,1,Intern
Google,No,No,0,India,Finance Management,No,Ringing,Mumbai,Modified,2,Software Engineer
Google,No,No,0,India,IT Projects Management,No,,Mumbai,Modified,2,Data Analyst
Direct Traffic,No,No,0,India,Select,No,Ringing,Mumbai,Email Opened,1,Assistant Coordinator
Google,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,3,Marketing Manager
Google,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,2,Software Engineer
Direct Traffic,No,No,0,India,Operations Management,No,,Mumbai,Email Opened,2,Business Consultant
Olark Chat,No,No,0,,Select,No,,,Modified,2,Business Consultant
Reference,No,No,1,India,Select,No,Will revert after reading the email,Mumbai,SMS Sent,1,Associate Analyst
Google,No,No,1,India,Select,No,Will revert after reading the email,Mumbai,Email Opened,2,Technical Specialist
Olark Chat,Yes,No,0,India,Select,No,,Mumbai,Email Bounced,1,Intern
Google,No,No,1,India,Finance Management,No,Will revert after reading the email,Mumbai,SMS Sent,3,Operations Manager
Google,No,No,0,India,Business Administration,No,Ringing,Mumbai,Email Opened,3,Marketing Manager
Organic Search,No,No,1,India,Travel and Tourism,No,Will revert after reading the email,Mumbai,SMS Sent,2,Technical Specialist
Google,No,No,0,Bangladesh,Marketing Management,No,Interested in other courses,Other Cities,Email Opened,1,Assistant Coordinator
Google,No,No,1,India,Select,No,Will revert after reading the email,Mumbai,Email Opened,2,Software Engineer
Google,No,No,1,India,Select,No,,Mumbai,Email Opened,4,Head of Marketing
Reference,No,No,1,India,Marketing Management,No,Will revert after reading the email,Mumbai,SMS Sent,2,Technical Specialist
Google,No,No,0,India,Select,No,,Mumbai,Modified,2,Business Consultant
Google,No,No,1,India,Finance Management,No,,Mumbai,Email Opened,5,COO
Organic Search,No,No,1,India,Human Resource Management,No,Will revert after reading the email,Mumbai,SMS Sent,2,Software Engineer
Direct Traffic,No,No,0,Bangladesh,Human Resource Management,No,Ringing,Other Cities,Modified,3,Operations Manager
Reference,No,No,1,India,Marketing Management,No,Closed by Horizzon,Mumbai,Modified,2,Data Analyst
Olark Chat,No,No,1,India,Select,No,,Mumbai,Email Opened,2,Technical Specialist
Olark Chat,Yes,No,1,India,Select,No,,Mumbai,SMS Sent,3,Project Manager
Google,No,No,0,India,Select,No,,Mumbai,Email Link Clicked,2,Business Consultant
Olark Chat,No,No,1,India,Select,No,,Mumbai,Email Opened,2,Data Analyst
Google,No,No,0,India,Select,No,Interested in other courses,Mumbai,Email Opened,5,COO
Olark Chat,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,3,Marketing Manager
Reference,No,No,1,India,Operations Management,No,Will revert after reading the email,Mumbai,Email Opened,1,Junior Developer
Google,No,No,1,Bangladesh,Business Administration,No,Will revert after reading the email,Other Cities,SMS Sent,4,Vice President
Direct Traffic,No,No,0,India,Supply Chain Management,No,Interested in other courses,Mumbai,Olark Chat Conversation,3,Operations Manager
Direct Traffic,No,No,0,Bangladesh,Human Resource Management,No,opp hangup,Other Cities,Email Opened,2,Data Analyst
Google,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,2,Business Consultant
Direct Traffic,No,No,1,India,Marketing Management,No,Ringing,Mumbai,SMS Sent,4,Director of Operations
Google,No,No,1,India,Marketing Management,No,Will revert after reading the email,Mumbai,Email Opened,1,Intern
Google,No,No,1,India,Healthcare Management,No,Will revert after reading the email,Mumbai,Email Opened,1,Junior Developer
Organic Search,No,No,1,India,Select,No,Will revert after reading the email,Mumbai,SMS Sent,2,Technical Specialist
Direct Traffic,No,No,1,India,Business Administration,No,,Mumbai,Email Opened,3,Project Manager
Google,No,No,0,India,Select,No,Ringing,Mumbai,Email Opened,1,Assistant Coordinator
Google,No,No,1,India,Select,No,in touch with EINS,Mumbai,SMS Sent,1,Associate Analyst
Google,No,No,1,India,Finance Management,No,Will revert after reading the email,Mumbai,SMS Sent,1,Intern
Olark Chat,No,No,0,,Select,No,,,Modified,2,Software Engineer
Direct Traffic,No,No,1,Bangladesh,Media and Advertising,No,Will revert after reading the email,Other Cities,Email Opened,1,Assistant Coordinator
Direct Traffic,No,No,1,India,Media and Advertising,No,Will revert after reading the email,Mumbai,Email Opened,3,Project Manager
Google,No,No,0,India,Select,No,Ringing,Mumbai,Email Opened,1,Junior Developer
Direct Traffic,No,No,0,India,IT Projects Management,No,Ringing,Mumbai,Email Opened,2,Software Engineer
Google,No,No,0,India,"Banking, Investment And Insurance",No,,Mumbai,SMS Sent,3,Team Lead
Direct Traffic,No,No,1,India,Operations Management,No,Will revert after reading the email,Mumbai,Email Opened,4,Senior Strategy Director
Organic Search,No,No,0,Bangladesh,Travel and Tourism,No,,Other Cities,Email Opened,2,Business Consultant
Direct Traffic,No,No,0,India,Human Resource Management,No,Already a student,Mumbai,Email Link Clicked,2,Data Analyst
Google,No,No,0,Bangladesh,Travel and Tourism,No,Ringing,Other Cities,Email Opened,3,Project Manager
Direct Traffic,No,No,0,India,Human Resource Management,No,,Mumbai,Email Link Clicked,1,Assistant Coordinator
Olark Chat,No,No,0,India,Select,No,,Mumbai,Email Link Clicked,2,Business Consultant
Google,No,No,1,India,Marketing Management,No,Will revert after reading the email,Mumbai,SMS Sent,3,Team Lead
Organic Search,No,No,0,India,Hospitality Management,No,Interested in other courses,Mumbai,Email Opened,3,Project Manager
Direct Traffic,No,No,1,India,Marketing Management,No,Will revert after reading the email,Mumbai,Email Opened,3,Project Manager
Direct Traffic,No,No,1,India,Finance Management,No,Will revert after reading the email,Mumbai,Email Opened,2,Data Analyst
Olark Chat,No,No,0,,Select,No,,,Email Opened,1,Junior Developer
Organic Search,No,No,1,India,"Banking, Investment And Insurance",No,Will revert after reading the email,Mumbai,SMS Sent,2,Technical Specialist
Organic Search,No,No,0,India,Business Administration,No,Graduation in progress,Mumbai,Email Opened,1,Junior Developer
Direct Traffic,No,No,1,India,Marketing Management,No,Lost to EINS,Mumbai,Email Link Clicked,3,Marketing Manager
Reference,No,No,1,India,Supply Chain Management,No,Will revert after reading the email,Mumbai,Email Opened,4,Head of Marketing
Direct Traffic,No,No,0,India,Select,No,,Mumbai,Modified,2,Business Consultant
Direct Traffic,No,No,0,India,Hospitality Management,No,Will revert after reading the email,Mumbai,Modified,5,COO
Olark Chat,No,No,1,Bangladesh,Select,No,Will revert after reading the email,Other Cities,Page Visited on Website,2,Business Consultant
Organic Search,No,No,0,India,Human Resource Management,No,switched off,Mumbai,Email Opened,3,Marketing Manager
Google,No,No,0,India,Operations Management,No,switched off,Mumbai,SMS Sent,2,Technical Specialist
Direct Traffic,No,No,0,India,Marketing Management,No,Interested in other courses,Mumbai,Email Opened,2,Technical Specialist
Direct Traffic,No,No,1,Bangladesh,International Business,No,Will revert after reading the email,Other Cities,Page Visited on Website,3,Project Manager
Google,No,No,1,India,Finance Management,No,Will revert after reading the email,Mumbai,Email Opened,2,Technical Specialist
Google,No,No,1,India,Select,No,Will revert after reading the email,Mumbai,Email Opened,2,Data Analyst
Direct Traffic,No,No,1,India,Business Administration,No,Ringing,Mumbai,Modified,3,Team Lead
Olark Chat,No,No,1,India,Select,No,,Mumbai,Email Opened,2,Business Consultant
Olark Chat,No,No,1,India,Select,No,,Mumbai,Email Opened,2,Software Engineer
Organic Search,No,No,1,India,Supply Chain Management,No,,Mumbai,SMS Sent,3,Project Manager
Olark Chat,No,No,0,,Select,No,,,Modified,1,Junior Developer
Olark Chat,No,No,1,India,Select,No,,Mumbai,Email Opened,4,Director of Operations
Olark Chat,No,No,0,,Select,No,,,Modified,4,Director of Operations
Direct Traffic,No,No,0,India,Business Administration,No,,Mumbai,Modified,3,Team Lead
Referral Sites,No,No,1,Bangladesh,Supply Chain Management,No,Will revert after reading the email,Other Cities,Email Opened,1,Intern
Direct Traffic,No,No,0,India,"Banking, Investment And Insurance",No,switched off,Mumbai,SMS Sent,3,Marketing Manager
Direct Traffic,No,No,1,India,Select,No,Will revert after reading the email,Mumbai,Email Opened,4,Vice President
Google,No,No,0,India,Select,No,,Mumbai,Email Opened,4,Director of Operations
Welingak Website,No,No,1,India,Select,No,,Mumbai,Email Opened,3,Marketing Manager
Olark Chat,No,No,1,India,Select,No,,Mumbai,Email Link Clicked,2,Data Analyst
Organic Search,No,No,0,India,Travel and Tourism,No,Will revert after reading the email,Mumbai,Email Opened,3,Team Lead
Direct Traffic,No,No,0,India,Human Resource Management,No,Ringing,Mumbai,Email Opened,3,Operations Manager
Google,No,No,1,India,Select,No,,Mumbai,Email Opened,3,Project Manager
Organic Search,No,No,1,India,Supply Chain Management,No,,Mumbai,SMS Sent,1,Junior Developer
Google,No,No,1,India,Select,No,,Mumbai,SMS Sent,1,Junior Developer
Direct Traffic,No,No,0,Bangladesh,Human Resource Management,No,Ringing,Other Cities,Email Opened,3,Team Lead
Olark Chat,No,No,0,India,Select,No,Interested in other courses,Mumbai,Page Visited on Website,4,Vice President
Direct Traffic,No,No,0,India,Select,No,,Mumbai,Email Opened,1,Junior Developer
Google,No,No,1,India,Select,No,,Mumbai,Email Opened,3,Marketing Manager
Welingak Website,No,No,1,India,Select,No,Lost to EINS,Mumbai,Modified,2,Business Consultant
Olark Chat,No,No,0,,Select,No,,,Olark Chat Conversation,3,Project Manager
Direct Traffic,No,No,0,India,Operations Management,No,switched off,Mumbai,Email Opened,3,Team Lead
Direct Traffic,No,No,1,India,Business Administration,No,Will revert after reading the email,Mumbai,Email Opened,3,Project Manager
Google,No,No,1,India,Select,No,,Mumbai,Modified,3,Marketing Manager
Olark Chat,No,No,1,India,Select,No,Closed by Horizzon,Mumbai,Modified,2,Software Engineer
Google,No,No,1,India,Select,No,,Mumbai,Email Opened,2,Technical Specialist
Google,No,No,0,India,IT Projects Management,No,,Mumbai,Email Opened,3,Marketing Manager
Google,No,No,0,India,Supply Chain Management,No,Busy,Mumbai,Email Opened,3,Operations Manager
Google,No,No,1,India,Business Administration,No,,Mumbai,Email Opened,1,Intern
Direct Traffic,No,No,0,India,Human Resource Management,No,Ringing,Mumbai,Email Opened,1,Assistant Coordinator
Google,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,3,Operations Manager
Google,No,No,1,India,Human Resource Management,No,Will revert after reading the email,Mumbai,Email Opened,2,Technical Specialist
Olark Chat,No,No,0,,Select,No,,,Modified,3,Marketing Manager
Direct Traffic,No,No,1,India,Human Resource Management,No,Will revert after reading the email,Mumbai,SMS Sent,5,CFO
Direct Traffic,No,No,1,Bangladesh,IT Projects Management,No,Lost to EINS,Other Cities,Email Opened,3,Team Lead
Google,No,No,1,India,Select,No,,Mumbai,Email Opened,5,COO
Google,No,No,0,Bangladesh,International Business,No,Ringing,Other Cities,Email Opened,2,Business Consultant
Olark Chat,No,No,1,India,Select,No,,Mumbai,Email Opened,2,Software Engineer
Google,No,No,0,India,Human Resource Management,No,,Mumbai,Email Opened,2,Technical Specialist
Olark Chat,No,No,0,,Select,No,,,Email Opened,2,Data Analyst
Welingak Website,No,No,1,India,Select,No,Closed by Horizzon,Mumbai,Modified,1,Assistant Coordinator
Welingak Website,No,No,1,India,Select,No,,Mumbai,SMS Sent,2,Technical Specialist
Google,No,No,1,India,Select,No,,Mumbai,Email Opened,3,Marketing Manager
Direct Traffic,No,No,0,India,Rural and Agribusiness,No,Interested  in full time MBA,Mumbai,Email Opened,4,Senior Strategy Director
Google,No,No,1,India,Marketing Management,No,Will revert after reading the email,Mumbai,Email Opened,1,Associate Analyst
Google,Yes,No,0,India,Marketing Management,No,Ringing,Mumbai,Email Bounced,2,Technical Specialist
Google,No,No,0,Bangladesh,IT Projects Management,No,Graduation in progress,Other Cities,Modified,2,Technical Specialist
Welingak Website,No,No,1,India,Select,No,,Mumbai,Modified,3,Marketing Manager
Google,No,No,0,India,Supply Chain Management,No,,Mumbai,Email Opened,1,Assistant Coordinator
Reference,No,No,1,India,Human Resource Management,No,Will revert after reading the email,Mumbai,Modified,2,Data Analyst
Google,No,No,1,India,Finance Management,No,Still Thinking,Mumbai,SMS Sent,4,Senior Strategy Director
Welingak Website,No,No,1,India,Select,No,,Mumbai,Email Opened,1,Junior Developer
Google,No,No,1,India,Marketing Management,No,Will revert after reading the email,Mumbai,Email Opened,5,Chief Innovation Officer
Direct Traffic,No,No,0,India,Finance Management,No,,Mumbai,Email Opened,1,Assistant Coordinator
Direct Traffic,No,No,0,India,"Banking, Investment And Insurance",No,Ringing,Mumbai,Modified,2,Software Engineer
Google,No,No,1,India,Select,No,,Mumbai,Email Opened,3,Project Manager
Olark Chat,No,No,0,,Select,No,,,Modified,5,CTO
Google,No,No,1,India,Finance Management,No,Will revert after reading the email,Mumbai,SMS Sent,3,Project Manager
Direct Traffic,No,No,1,India,Finance Management,No,Will revert after reading the email,Mumbai,SMS Sent,3,Team Lead
Google,No,No,1,India,Business Administration,No,,Mumbai,SMS Sent,3,Operations Manager
Reference,No,No,1,India,Marketing Management,No,Will revert after reading the email,Mumbai,Email Opened,1,Intern
Google,No,No,1,India,Select,No,,Mumbai,SMS Sent,1,Junior Developer
Google,No,No,1,India,Marketing Management,No,Will revert after reading the email,Mumbai,SMS Sent,3,Project Manager
Direct Traffic,No,No,0,Bangladesh,Marketing Management,No,Graduation in progress,Other Cities,Modified,2,Software Engineer
Organic Search,No,No,0,India,Media and Advertising,No,Interested in other courses,Mumbai,Email Opened,2,Technical Specialist
Google,No,No,1,India,Travel and Tourism,No,Will revert after reading the email,Mumbai,Modified,5,CTO
Olark Chat,No,No,0,,Select,No,,,Email Link Clicked,5,CTO
Google,No,No,0,India,"Banking, Investment And Insurance",No,,Mumbai,Email Opened,4,Director of Operations
Google,No,No,0,India,Business Administration,No,,Mumbai,SMS Sent,3,Project Manager
Direct Traffic,No,No,0,India,Marketing Management,No,,Mumbai,Email Opened,3,Project Manager
Reference,No,No,1,India,Select,No,,Mumbai,SMS Sent,2,Business Consultant
Organic Search,No,No,0,India,Select,No,wrong number given,Mumbai,Email Opened,2,Business Consultant
Google,Yes,No,0,India,Human Resource Management,No,,Mumbai,Modified,2,Data Analyst
Google,No,No,1,India,Business Administration,No,opp hangup,Mumbai,Modified,4,Head of Marketing
Google,No,No,0,India,Human Resource Management,No,,Mumbai,Olark Chat Conversation,3,Team Lead
Organic Search,No,No,1,India,Select,No,,Mumbai,Modified,2,Data Analyst
Google,Yes,No,0,India,Human Resource Management,No,Ringing,Mumbai,Modified,2,Software Engineer
Google,No,No,1,India,Marketing Management,No,Will revert after reading the email,Mumbai,Email Opened,1,Junior Developer
Direct Traffic,No,No,1,India,Supply Chain Management,No,Will revert after reading the email,Mumbai,SMS Sent,2,Technical Specialist
Google,No,No,1,India,Human Resource Management,No,Will revert after reading the email,Mumbai,SMS Sent,3,Marketing Manager
Olark Chat,No,No,0,,Select,No,,,Modified,4,Senior Strategy Director
Direct Traffic,No,No,0,India,Select,No,,Mumbai,Modified,3,Marketing Manager
Olark Chat,No,No,0,India,Select,No,Ringing,Mumbai,Email Opened,3,Project Manager
Google,No,No,0,India,Travel and Tourism,No,,Mumbai,Email Opened,3,Team Lead
Direct Traffic,No,No,0,India,Marketing Management,No,Ringing,Mumbai,Email Opened,2,Business Consultant
Google,No,No,0,India,Select,No,Interested in other courses,Mumbai,Page Visited on Website,2,Software Engineer
Organic Search,No,No,1,Bangladesh,Rural and Agribusiness,No,opp hangup,Other Cities,Email Opened,1,Assistant Coordinator
Direct Traffic,No,No,1,India,Business Administration,No,Graduation in progress,Mumbai,Email Opened,3,Operations Manager
Google,No,No,0,India,Finance Management,No,wrong number given,Mumbai,Email Opened,2,Software Engineer
Direct Traffic,No,No,0,India,Marketing Management,No,,Mumbai,SMS Sent,3,Marketing Manager
Google,No,No,1,India,Operations Management,No,Will revert after reading the email,Mumbai,Email Opened,2,Software Engineer
Google,No,No,1,India,Operations Management,No,Will revert after reading the email,Mumbai,Email Opened,3,Project Manager
Organic Search,No,No,0,India,Marketing Management,No,number not provided,Mumbai,Email Link Clicked,4,Vice President
Google,No,No,1,India,"Banking, Investment And Insurance",No,Will revert after reading the email,Mumbai,Email Opened,1,Intern
Google,No,No,0,India,Finance Management,No,,Mumbai,Email Opened,3,Team Lead
Google,No,No,0,India,"Banking, Investment And Insurance",No,Ringing,Mumbai,Email Opened,2,Data Analyst
Google,No,No,1,India,Marketing Management,No,Lost to EINS,Mumbai,Modified,3,Operations Manager
Olark Chat,No,No,0,India,Select,No,Ringing,Mumbai,Email Opened,2,Business Consultant
Google,No,No,1,India,Business Administration,No,Will revert after reading the email,Mumbai,Email Opened,3,Project Manager
Google,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,3,Project Manager
Direct Traffic,No,No,1,India,Operations Management,No,Will revert after reading the email,Mumbai,Email Opened,1,Intern
Direct Traffic,No,No,1,India,"Banking, Investment And Insurance",No,Will revert after reading the email,Mumbai,SMS Sent,3,Project Manager
Google,No,No,0,India,Supply Chain Management,No,Ringing,Mumbai,Modified,5,CTO
Direct Traffic,No,No,0,India,Finance Management,No,,Mumbai,Email Opened,4,Vice President
Google,No,No,1,Bangladesh,Human Resource Management,No,Will revert after reading the email,Other Cities,SMS Sent,2,Data Analyst
Google,No,No,0,India,Finance Management,No,,Mumbai,Email Opened,5,COO
Google,No,No,0,India,Human Resource Management,No,Busy,Mumbai,Email Opened,4,Head of Marketing
Google,No,No,0,India,Marketing Management,No,Interested  in full time MBA,Mumbai,Modified,4,Senior Strategy Director
Google,No,No,1,India,IT Projects Management,No,Will revert after reading the email,Mumbai,Email Link Clicked,1,Associate Analyst
Google,No,No,0,India,Human Resource Management,No,Ringing,Mumbai,Email Opened,4,Senior Strategy Director
Google,No,No,1,India,International Business,No,Will revert after reading the email,Mumbai,Email Opened,3,Operations Manager
Olark Chat,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,2,Business Consultant
Direct Traffic,No,No,1,India,Supply Chain Management,No,Will revert after reading the email,Mumbai,Email Opened,2,Business Consultant
Direct Traffic,No,No,0,India,Select,No,,Mumbai,Modified,2,Data Analyst
Olark Chat,No,No,1,,Select,No,Lost to EINS,,Modified,2,Technical Specialist
Google,No,No,0,India,Select,No,Ringing,Mumbai,Modified,2,Technical Specialist
Google,No,No,0,India,Operations Management,No,,Mumbai,SMS Sent,2,Software Engineer
Olark Chat,No,No,0,,Select,No,,,Modified,1,Associate Analyst
Direct Traffic,No,No,0,India,Supply Chain Management,No,Ringing,Mumbai,Modified,2,Business Consultant
Google,No,No,0,India,Marketing Management,No,,Mumbai,Modified,3,Team Lead
Google,No,No,0,India,Select,No,Diploma holder (Not Eligible),Mumbai,Modified,4,Head of Marketing
Google,No,No,1,India,IT Projects Management,No,Will revert after reading the email,Mumbai,SMS Sent,2,Technical Specialist
Google,No,No,1,India,Operations Management,No,Will revert after reading the email,Mumbai,Email Opened,1,Associate Analyst
Direct Traffic,No,No,1,India,Business Administration,No,Will revert after reading the email,Mumbai,Email Opened,1,Associate Analyst
Organic Search,No,No,1,India,Travel and Tourism,No,Will revert after reading the email,Mumbai,SMS Sent,3,Operations Manager
Organic Search,No,No,0,India,"Banking, Investment And Insurance",No,,Mumbai,Email Opened,1,Associate Analyst
Google,No,No,0,India,Business Administration,No,,Mumbai,Email Opened,2,Software Engineer
Direct Traffic,No,No,1,India,IT Projects Management,No,Will revert after reading the email,Mumbai,Email Opened,3,Project Manager
Google,No,No,0,India,Select,No,Ringing,Mumbai,Email Opened,2,Data Analyst
Google,No,No,1,India,Healthcare Management,No,Will revert after reading the email,Mumbai,Email Opened,4,Vice President
Organic Search,No,No,0,India,Finance Management,No,Ringing,Mumbai,Email Opened,2,Data Analyst
Google,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,2,Data Analyst
Google,No,No,0,India,Marketing Management,No,Interested in other courses,Mumbai,Modified,2,Software Engineer
Google,No,No,1,India,Marketing Management,No,Will revert after reading the email,Mumbai,Email Opened,2,Technical Specialist
Olark Chat,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,2,Data Analyst
Olark Chat,No,No,1,India,"Banking, Investment And Insurance",No,Will revert after reading the email,Mumbai,Email Opened,3,Operations Manager
